,fold,model,Accuracy
0,0,CatBoost,0.7554347826086957
1,1,CatBoost,0.8097826086956522
2,2,CatBoost,0.7554347826086957
3,3,CatBoost,0.6939890710382514
4,4,CatBoost,0.7486338797814208
5,0,XGBoost,0.7880434782608695
6,1,XGBoost,0.8152173913043478
7,2,XGBoost,0.7934782608695652
8,3,XGBoost,0.7486338797814208
9,4,XGBoost,0.7704918032786885
10,0,MostFrequent,0.5706521739130435
11,1,MostFrequent,0.5054347826086957
12,2,MostFrequent,0.5489130434782609
13,3,MostFrequent,0.5355191256830601
14,4,MostFrequent,0.6065573770491803
15,0,KNN,0.7771739130434783
16,1,KNN,0.7554347826086957
17,2,KNN,0.7771739130434783
18,3,KNN,0.7103825136612022
19,4,KNN,0.7759562841530054
20,0,NaiveBayes,0.7989130434782609
21,1,NaiveBayes,0.7989130434782609
22,2,NaiveBayes,0.7989130434782609
23,3,NaiveBayes,0.7158469945355191
24,4,NaiveBayes,0.7704918032786885
25,0,RandomForest,0.8260869565217391
26,1,RandomForest,0.8152173913043478
27,2,RandomForest,0.7880434782608695
28,3,RandomForest,0.7377049180327869
29,4,RandomForest,0.7868852459016393
30,0,LogRegression,0.8206521739130435
31,1,LogRegression,0.8315217391304348
32,2,LogRegression,0.7989130434782609
33,3,LogRegression,0.7103825136612022
34,4,LogRegression,0.7650273224043715
35,0,DecisionTree,0.7989130434782609
36,1,DecisionTree,0.8315217391304348
37,2,DecisionTree,0.8206521739130435
38,3,DecisionTree,0.6994535519125683
39,4,DecisionTree,0.7704918032786885
40,0,FormalConcept,0.7880434782608695
41,1,FormalConcept,0.7119565217391305
42,2,FormalConcept,0.7119565217391305
43,3,FormalConcept,0.6612021857923497
44,4,FormalConcept,0.7213114754098361
